image_id,label,original_class,split,organized_image_file_path,original_image_file_path,organized_mask_file_path,original_mask_file_path
benign (33).png,0,benign,train,./mmibc/busi/images/train/benign/benign (33).png,./data/ultrasound/images/benign/benign (33).png,./mmibc/busi/masks/train/benign/benign (33)_mask.png,./data/ultrasound/masks/benign/benign (33)_mask.png
benign (205).png,0,benign,train,./mmibc/busi/images/train/benign/benign (205).png,./data/ultrasound/images/benign/benign (205).png,./mmibc/busi/masks/train/benign/benign (205)_mask.png,./data/ultrasound/masks/benign/benign (205)_mask.png
malignant (22).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (22).png,./data/ultrasound/images/malignant/malignant (22).png,./mmibc/busi/masks/train/malignant/malignant (22)_mask.png,./data/ultrasound/masks/malignant/malignant (22)_mask.png
malignant (209).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (209).png,./data/ultrasound/images/malignant/malignant (209).png,./mmibc/busi/masks/train/malignant/malignant (209)_mask.png,./data/ultrasound/masks/malignant/malignant (209)_mask.png
benign (249).png,0,benign,train,./mmibc/busi/images/train/benign/benign (249).png,./data/ultrasound/images/benign/benign (249).png,./mmibc/busi/masks/train/benign/benign (249)_mask.png,./data/ultrasound/masks/benign/benign (249)_mask.png
normal (69).png,0,normal,train,./mmibc/busi/images/train/benign/normal (69).png,./data/ultrasound/images/normal/normal (69).png,./mmibc/busi/masks/train/benign/normal (69)_mask.png,./data/ultrasound/masks/normal/normal (69)_mask.png
benign (410).png,0,benign,train,./mmibc/busi/images/train/benign/benign (410).png,./data/ultrasound/images/benign/benign (410).png,./mmibc/busi/masks/train/benign/benign (410)_mask.png,./data/ultrasound/masks/benign/benign (410)_mask.png
normal (120).png,0,normal,train,./mmibc/busi/images/train/benign/normal (120).png,./data/ultrasound/images/normal/normal (120).png,./mmibc/busi/masks/train/benign/normal (120)_mask.png,./data/ultrasound/masks/normal/normal (120)_mask.png
benign (330).png,0,benign,train,./mmibc/busi/images/train/benign/benign (330).png,./data/ultrasound/images/benign/benign (330).png,./mmibc/busi/masks/train/benign/benign (330)_mask.png,./data/ultrasound/masks/benign/benign (330)_mask.png
normal (108).png,0,normal,train,./mmibc/busi/images/train/benign/normal (108).png,./data/ultrasound/images/normal/normal (108).png,./mmibc/busi/masks/train/benign/normal (108)_mask.png,./data/ultrasound/masks/normal/normal (108)_mask.png
benign (307).png,0,benign,train,./mmibc/busi/images/train/benign/benign (307).png,./data/ultrasound/images/benign/benign (307).png,./mmibc/busi/masks/train/benign/benign (307)_mask.png,./data/ultrasound/masks/benign/benign (307)_mask.png
benign (369).png,0,benign,train,./mmibc/busi/images/train/benign/benign (369).png,./data/ultrasound/images/benign/benign (369).png,./mmibc/busi/masks/train/benign/benign (369)_mask.png,./data/ultrasound/masks/benign/benign (369)_mask.png
malignant (40).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (40).png,./data/ultrasound/images/malignant/malignant (40).png,./mmibc/busi/masks/train/malignant/malignant (40)_mask.png,./data/ultrasound/masks/malignant/malignant (40)_mask.png
malignant (115).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (115).png,./data/ultrasound/images/malignant/malignant (115).png,./mmibc/busi/masks/train/malignant/malignant (115)_mask.png,./data/ultrasound/masks/malignant/malignant (115)_mask.png
benign (382).png,0,benign,train,./mmibc/busi/images/train/benign/benign (382).png,./data/ultrasound/images/benign/benign (382).png,./mmibc/busi/masks/train/benign/benign (382)_mask.png,./data/ultrasound/masks/benign/benign (382)_mask.png
malignant (1).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (1).png,./data/ultrasound/images/malignant/malignant (1).png,./mmibc/busi/masks/train/malignant/malignant (1)_mask.png,./data/ultrasound/masks/malignant/malignant (1)_mask.png
